,Description,Country,Weather,Time of Day,Season,Activity,student_id,Consistency_Label
912,"A panoramic view of London’s skyline with iconic buildings; I chose this place for its rich history, vibrant culture, and blend of historic and modern architecture.",United Kingdom,Sunny,Afternoon,Summer,sightseeing,1221332,Consistent
913,"A scenic view of Santorini’s cliffside town and volcanic landscape overlooking the sea; I chose this place for its breathtaking beauty, Mediterranean charm, and serene island atmosphere.",Greece,Sunny,Afternoon,Summer,sightseeing,1221332,Consistent
914,"A warm sunset over Paris with the Eiffel Tower, orange autumn trees, and a calm river creating a romantic, peaceful scene.",France,Sunny,Evening,Fall,sightseeing,1221332,Consistent
915,"A bright, colorful Tokyo street glowing with neon signs as people walk through the lively nightlife.",Japan,Not Clear,Evening,Not Clear,walking,1221332,Contradictory
916,A bright coastal view of Alexandria with the historic Citadel of Qaitbay surrounded by blue water and boats.,Egypt,Sunny,Afternoon,Summer,sightseeing,1221332,Consistent
917,"An aerial view of Acre (Akka), showing its historic old city, ancient sea walls, and the Mediterranean coastline. I chose this place because it is a beautiful and culturally rich Palestinian city.",Palestine,Sunny,Evening,Summer,sightseeing,1221332,Consistent
918,Snow-capped peaks of Mount Everest and the Himalayas under a cloudy sky.,Nepal,Cloudy,Morning,Winter,hiking,1221350,Consistent
919,The twin spires of Cologne Cathedral rising above autumn trees.,Germany,Cloudy,Afternoon,Fall,sightseeing,1221350,Consistent
920,Sunset casting purple and orange hues over the Grand Canyon.,USA,Sunny,Evening,Summer,sightseeing,1221350,Consistent
921,Machu Picchu ruins nestled in green mountains with mist rolling in.,Peru,Cloudy,Morning,Summer,hiking,1221350,Consistent
922,The Eiffel Tower viewed from the Seine river at dusk with pink sky.,France,Cloudy,Evening,Spring,sightseeing,1221350,Consistent
923,Vibrant purple and green Northern Lights over a snowy landscape.,Iceland,Not Clear,Evening,Winter,sightseeing,1221350,Contradictory
924,The Empire State Building and NYC skyline bathed in golden sunset light.,USA,Sunny,Evening,Summer,sightseeing,1221350,Consistent
925,Blue domes and white buildings of Santorini against a bright sky.,Greece,Sunny,Afternoon,Summer,relaxing,1221350,Consistent
926,The faces of Mount Rushmore carved into the granite cliffside.,USA,Sunny,Afternoon,Summer,sightseeing,1221350,Consistent
927,Traditional Japanese street with women in kimonos near Yasaka Pagoda.,Japan,Sunny,Evening,Spring,sightseeing,1221350,Consistent
928,A stunning lakeside town surrounded by snow-dusted mountains under a vibrant pink and blue sunset sky.,New Zealand,Cloudy,Evening,Winter,sightseeing,1221574,Consistent
929,A golden sandy beach with turquoise waters and lush green hills under bright sunny skies.,USA,Sunny,Afternoon,Summer,water,1221574,Consistent
930,White-washed cliffside homes with blue domes overlooking the deep blue Aegean Sea on a clear day.,Greece,Sunny,Afternoon,Summer,sightseeing,1221574,Consistent
931,Northern lights glowing above a peaceful harbor and modern buildings reflected in still water.,Iceland,Sunny,Night,Winter,nature,1221574,Contradictory
932,A bright skyline featuring Tokyo Tower surrounded by dense clusters of modern buildings.,Japan,Sunny,Afternoon,Spring,urban,1221574,Consistent
933,"A coastal cityscape with beaches, modern buildings, and lively crowds enjoying sunlight.",Spain,Sunny,Afternoon,Summer,water,1221574,Consistent
934,Historic canal houses reflecting warm sunset colors across calm water.,Netherlands,Cloudy,Evening,Fall,water,1221574,Consistent
935,A dramatic skyline featuring Marina Bay Sands under a colorful sunset sky.,Singapore,Cloudy,Evening,Summer,sightseeing,1221574,Consistent
936,Aerial view of Manhattan with Central Park at the center of towering skyscrapers.,USA,Sunny,Afternoon,Summer,sightseeing,1221574,Consistent
937,A futuristic nighttime skyline glowing with gold and white lights across tall skyscrapers.,China,Sunny,Night,Fall,urban,1221574,Contradictory
938,"Evening view of the Louvre Museum pyramid glowing under deep blue skies, showing the artistic and historic charm of Paris.",France,Cloudy,Evening,Not Clear,sightseeing,1221636,Consistent
939,Two women wearing traditional purple and pink kimonos walking on a historic street in Kyoto — capturing traditional Japanese culture and the peaceful charm of old-town Japan.,Japan,Not Clear,Afternoon,Fall,walking,1221636,Consistent
940,"A rainy night at the Kaaba with worshippers praying on the wet marble floor, illuminated by the mosque lights, creating a peaceful and spiritual atmosphere.",Saudi Arabia,Not Clear,Evening,Winter,religious,1221636,Contradictory
941,"A bright daytime waterfall surrounded by green forest in Jeju Island, showing the island’s peaceful nature and famous lush scenery.",South Korea,Sunny,Morning,Spring,sightseeing,1221636,Consistent
942,"A scenic view of the Rialto Bridge over the Grand Canal in Venice, showcasing the classic canal-city architecture and charm of Venice’s waterways under soft evening light.",Italy,Sunny,Afternoon,Spring,walking,1221636,Consistent
943,"A peaceful alpine village surrounded by green hills, autumn trees, and snowy mountain peaks, showing the natural beauty of the Swiss countryside.",Switzerland,Snowy,Afternoon,Fall,sightseeing,1221636,Contradictory
944,"An aerial view of the Colosseum surrounded by green parks and historic Roman buildings, showing the rich history and architectural beauty of Rome.",Italy,Sunny,Afternoon,Spring,sightseeing,1221636,Consistent
945,"A stunning aerial view of a New Zealand coastline with turquoise water, white sand, and green rolling hills, showing the country’s natural beauty and peaceful landscapes.",New Zealand,Sunny,Afternoon,Summer,relaxing,1221636,Consistent
946,"A nighttime view of the Northern Lights glowing over snowy rocks and the icy coastline of Iceland, creating a magical and dramatic winter landscape.",Iceland,Snowy,Evening,Winter,sightseeing,1221636,Contradictory
947,"A calm turquoise lake surrounded by tall pine trees and snow-tipped mountains, with people canoeing peacefully across the water — showcasing Canada’s breathtaking natural scenery.",Canada,Sunny,Afternoon,Summer,water,1221636,Consistent
948,"Camp Nou stadium in Barcelona, a world‑famous football arena known for its electric atmosphere. I chose it because it represents passion, sports, and a dream visit for any football fan.",Spain,Sunny,Afternoon,Summer,sightseeing,1221697,Consistent
949,"Times Square in New York City, full of bright lights, huge billboards, and nonstop energy. I chose it because it's one of the most iconic places in the world.",USA,Sunny,Night,Fall,walking,1221697,Contradictory
950,"A scenic view of the Lofoten Islands with dramatic mountains, colorful fishing villages, and pure Arctic beauty. I chose it because it feels peaceful and unreal.",Norway,Sunny,Afternoon,Summer,sightseeing,1221697,Consistent
951,Moraine Lake with its turquoise waters surrounded by high peaks in the Canadian Rockies. I chose it because its one of the most breathtaking lakes on Earth.,Canada,Sunny,Evening,Summer,nature,1221697,Consistent
952,"The Lapland region, known for snowy forests, reindeer, and magical winter landscapes. I chose it because its perfect for northern lights and cozy winter vibes.",Finland,Sunny,Night,Winter,winter_sport,1221697,Contradictory
953,"Hitachi Seaside Park covered with flowers, especially the blue nemophila fields. I chose it because it looks dreamy and peaceful.",Japan,Sunny,Afternoon,Fall,walking,1221697,Consistent
954,Mendenhall Ice Caves with their glowing blue ice tunnels. I chose it because the frozen crystal-like caves look unreal and adventurous.,USA,Sunny,Night,Winter,hiking,1221697,Contradictory
955,"Dome of the Rock in Jerusalem, an iconic golden-domed shrine located in Al-Aqsa Mosque compound. I chose it because it represents deep spiritual meaning and timeless Islamic architecture.",Palestine,Sunny,Afternoon,Summer,sightseeing,1221697,Consistent
956,"Al-Masjid Al-Haram in Makkah, the holiest mosque in Islam surrounding the Kaaba. I chose it because it�s a dream spiritual destination for every Muslim.",Saudi Arabia,Sunny,Afternoon,Summer,religious,1221697,Consistent
957,"Lake Thun surrounded by mountains and peaceful Swiss villages. I chose it because the scenery is calm, fresh, and beautiful.",Switzerland,Sunny,Afternoon,Fall,relaxing,1221697,Consistent
958,"The image shows a bright aerial view of a modern city skyline with tall glass buildings. I chose this place because it looks clean, vibrant, and full of life.",United States,Sunny,Afternoon,Summer,unknown,1221808,Consistent
959,The image shows a stunning landscape with the Northern Lights glowing in bright green waves nearby waterfalls and I chose it because combination of the mountainand glowing sky.,Iceland,Not Clear,Evening,Winter,sightseeing,1221808,Contradictory
960,"The image shows an aerial view of overwater villas built above bright turquoise water, connected by wooden walkways and I chose this place because it looks peaceful and luxurious, with crystal-clear water.",Maldives,Sunny,Afternoon,Spring,relaxing,1221808,Consistent
961,"The image shows the Christ the Redeemer statue standing tall on a forest-covered mountain,I chose this place because it is one of the most iconic landmarks in the world, representing culture, history, and stunning natural scenery.",Brazil,Cloudy,Evening,Summer,photography,1221808,Consistent
962,"The image shows a llama standing in front of the ancient stone ruins , surrounded by steep green mountains.I chose this place because it is one of the most famous historical sites in the world, and the mix of nature.",Peru,Sunny,Morning,Summer,hiking,1221808,Consistent
963,"The image shows the Eiffel Tower rising into a clear blue sky. I chose this place because the Eiffel Tower is one of the most famous landmarks in the world, and it represents beauty, art, and romance.",France,Sunny,Afternoon,Summer,sightseeing,1221808,Consistent
964,"The image shows a bright red train crossing the Landwasser Viaduct, a tall stone bridge curving through a deep snowy valley.I chose this place because it looks like a magical winter landscape.",Switzerland,Snowy,Afternoon,Winter,sightseeing,1221808,Contradictory
965,The image shows Big Ben standing tall beside the historic Houses of Parliament. A bright blue sky with white clouds fills the background .I chose this place because Big Ben is one of the most iconic landmarks in the world.,United Kingdom,Sunny,Morning,Spring,sightseeing,1221808,Consistent
966,"The image shows a volcanic crater surrounded by mountains under a soft, colorful sky. I chose this place because volcanic landscapes are rare, powerful, and beautiful.",Costa Rica,Cloudy,Afternoon,Spring,hiking,1221808,Consistent
967,The image shows colorful hot-air balloons floating over the unique rocky landscape during sunrise. The warm orange light shines on the soft.I chose this place because the hot-air balloons and unusual rock formations make it look like a surreal.,Turkey,Sunny,Morning,Summer,adventure,1221808,Consistent
968,"Beautiful nature with magical waterfall, it makes me feel happy hiking on these mountains, especielly at sunset",Iceland,Cloudy,Afternoon,Fall,hiking,1221899,Consistent
969,"I love how relaxing and beeautiful the Maldives beaches, they have good resorts with beautiful islands, want to visit it especielly in summer",Maldives,Sunny,Morning,Spring,relaxing,1221899,Consistent
970,"Modern city with a lot of Excitement, The glowing Petronas Towers make the city look alive, especially at Evening.",Malaysia,Not Clear,Evening,Summer,sightseeing,1221899,Consistent
971,This scene feels very calming; always wants to hike there and see the beautiful nature.,Japan,Cloudy,Morning,Spring,hiking,1221899,Consistent
